Pose/Time (ns),Pose  1: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,Pose  2: PersScore 0.161 PoseScore 4.181 DockingScore -7.816,Pose  3: PersScore 0.173 PoseScore 5.331 DockingScore -5.486,Pose  4: PersScore 0.170 PoseScore 6.607 DockingScore -5.076
0.458,1.358453982,1.240787571,1.071344459,1.119753651
0.459,1.359631303,1.241764859,1.072195713,1.120850873
0.46,1.360106327,1.242494429,1.073024179,1.121398272
0.461,1.36057605,1.243245316,1.073580619,1.122706379
0.462,1.360966542,1.243475031,1.074259425,1.12396557
0.463,1.361432102,1.245307353,1.075228135,1.127360066
0.464,1.362126172,1.245552889,1.076151621,1.128285513
0.465,1.362754435,1.245933426,1.077290161,1.128922267
0.466,1.363821443,1.246364838,1.07772378,1.12987982
0.467,1.364635768,1.246884268,1.078294366,1.130676887
0.468,1.365002191,1.247152636,1.079339933,1.131483848
0.469,1.365588756,1.247482501,1.079660579,1.132444358
0.47,1.366065454,1.247935977,1.080659049,1.133227006
0.471,1.366520369,1.248331767,1.08112504,1.133898201
0.472,1.367641838,1.248951226,1.087861809,1.134512642
0.473,1.368116079,1.249803935,1.090676231,1.135672637
0.474,1.368470217,1.250167706,1.091611732,1.136817149
0.475,1.369070481,1.250295942,1.092141977,1.13794581
0.476,1.369650409,1.250716586,1.092694286,1.138323233
0.477,1.370599363,1.250853036,1.093406874,1.139249341
0.478,1.371412817,1.250924496,1.093945992,1.139753208
0.479,1.372090953,1.251300467,1.095117024,1.140491785
0.48,1.372741147,1.251261682,1.096016452,1.141287373
0.481,1.37366391,1.251307473,1.096723052,1.141957074
0.482,1.378400711,1.251655633,1.097321081,1.142435801
