Pose/Time (ns),Pose 1: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Pose 2: PersScore 0.277 PoseScore 2.633 DockingScore -14.718
0.274,0.621469683,0.720558576
0.275,0.622012162,0.720898345
0.276,0.622658766,0.721170877
0.277,0.623354217,0.721333523
0.278,0.623832919,0.721574026
0.279,0.624019867,0.72182936
0.28,0.624455414,0.72185143
0.281,0.625100014,0.722217617
0.282,0.625778658,0.722653619
0.283,0.625992695,0.723033468
0.284,0.62671951,0.723137931
0.285,0.627450569,0.723521995
0.286,0.628213659,0.723441898
0.287,0.628604673,0.723446188
0.288,0.629004092,0.723697644
0.289,0.629247176,0.72400014
0.29,0.629679003,0.723901901
0.291,0.630194685,0.723962059
0.292,0.63062357,0.723923089
0.293,0.630801189,0.723972176
0.294,0.631575064,0.724338567
0.295,0.631946135,0.724759795
0.296,0.632350265,0.725527031
0.297,0.632884026,0.72616094
0.298,0.633287176,0.726568446
0.299,0.63390604,0.726645224
0.3,0.634383823,0.72680607
0.301,0.634645326,0.726924229
0.302,0.635011058,0.727277615
0.303,0.635049762,0.731055783
0.304,0.635553129,0.731154316
0.305,0.636203176,0.731665081
0.306,0.636407562,0.739206494
0.307,0.636590047,0.739439131
0.308,0.636504708,0.739561616
0.309,0.636749599,0.739692775
0.31,0.636608081,0.74031717
0.311,0.636705415,0.740549328
0.312,0.636777462,0.740767708
0.313,0.637185773,0.741371652
0.314,0.637659882,0.741433828
0.315,0.638224455,0.741376924
0.316,0.638535279,0.741658928
0.317,0.638852537,0.741688192
0.318,0.639253735,0.741818348
0.319,0.639504244,0.742567158
0.32,0.639992828,0.742979513
0.321,0.640258169,0.743055171
0.322,0.640636304,0.7432363
0.323,0.640957462,0.743752411
0.324,0.641221809,0.743981777
0.325,0.641220379,0.744455769
0.326,0.641469182,0.744757593
0.327,0.641628824,0.744913676
0.328,0.641809874,0.748313587
0.329,0.642207634,0.754276626
0.33,0.642630208,0.75807036
0.331,0.64292121,0.758363304
0.332,0.643199122,0.762490572
0.333,0.643746859,0.762862963
0.334,0.64430745,0.763465493
0.335,0.64446538,0.763757215
0.336,0.64458482,0.764229942
0.337,0.64460876,0.764690052
0.338,0.644739939,0.765409441
0.339,0.645146914,0.76584151
0.34,0.645628639,0.766352053
0.341,0.645908422,0.767166946
0.342,0.648998909,0.76799851
0.343,0.649507749,0.768506838
0.344,0.64973239,0.768760919
0.345,0.649935018,0.768950391
0.346,0.650183451,0.769224975
0.347,0.65071288,0.769702596
0.348,0.651213013,0.770160531
0.349,0.651303471,0.770634757
0.35,0.651664113,0.771126233
0.351,0.653083791,0.771523815
0.352,0.653123038,0.772153016
0.353,0.653505356,0.772309742
0.354,0.653869327,0.773132618
0.355,0.654151491,0.773691009
0.356,0.654344937,0.774466382
0.357,0.654572527,0.774996189
0.358,0.654785078,0.775398403
0.359,0.65515448,0.776020945
0.36,0.655477468,0.776723999
0.361,0.65591686,0.776996113
0.362,0.656236298,0.777654966
0.363,0.656637628,0.777900473
0.364,0.656947236,0.778374007
0.365,0.657004039,0.778710301
0.366,0.657179255,0.779175047
0.367,0.657442349,0.779688302
0.368,0.657405454,0.780054373
0.369,0.657397965,0.780118145
0.37,0.65751393,0.780416973
0.371,0.65790422,0.7803479
0.372,0.65813888,0.780407882
0.373,0.658220025,0.780596431
0.374,0.659948475,0.78091918
0.375,0.6599213,0.781137414
0.376,0.659785097,0.781658022
0.377,0.659526558,0.78180246
0.378,0.659138758,0.782317454
0.379,0.65887083,0.782690984
0.38,0.658705804,0.782873589
0.381,0.658274129,0.783283018
0.382,0.658208778,0.78369542
0.383,0.658163279,0.784214244
0.384,0.658088432,0.784414843
0.385,0.657797662,0.785170472
0.386,0.657742273,0.785718925
0.387,0.65780244,0.786105588
0.388,0.657704114,0.786543486
0.389,0.657332973,0.786780327
0.39,0.656789931,0.787007433
0.391,0.656530144,0.787366966
0.392,0.656314585,0.788411111
0.393,0.655925163,0.78881033
0.394,0.655650136,0.78930043
0.395,0.655565914,0.789581374
0.396,0.655530171,0.790196163
0.397,0.655488251,0.790467036
0.398,0.655433801,0.790711479
0.399,0.654899011,0.790711433
0.4,0.654517836,0.791027736
0.401,0.654077854,0.794844532
0.402,0.653483945,0.795084908
0.403,0.653417492,0.795640809
0.404,0.653231935,0.796193229
0.405,0.652789406,0.79635954
0.406,0.65224853,0.796599066
0.407,0.651704238,0.796941026
0.408,0.651621022,0.796971434
0.409,0.65166401,0.796815057
0.41,0.651521783,0.796979298
0.411,0.651807933,0.797108163
0.412,0.651953714,0.797191934
0.413,0.652184434,0.797633743
0.414,0.652362947,0.798062624
