Pose/Time (ns),Z100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Z3932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397
0.248,1.149352354,0.609365022,0.856167315
0.249,1.149774899,0.609996624,0.856672201
0.25,1.150543385,0.610549333,0.857177951
0.251,1.150785378,0.610852732,0.857688484
0.252,1.151013559,0.611243675,0.858297784
0.253,1.151671309,0.611759188,0.858756353
0.254,1.15284838,0.61234384,0.859200329
0.255,1.156645424,0.612754248,0.859654047
0.256,1.159939272,0.613149518,0.860311187
0.257,1.1607138,0.613684024,0.86070595
0.258,1.161821448,0.613943275,0.861112364
0.259,1.163194126,0.614368382,0.861341875
0.26,1.169310786,0.614581074,0.861757382
0.261,1.169750279,0.615344278,0.862249803
0.262,1.171273938,0.615790417,0.862317771
0.263,1.171830988,0.616167907,0.863255437
0.264,1.171988011,0.616208344,0.863417775
0.265,1.172148982,0.616435227,0.863840414
0.266,1.172746806,0.616921758,0.864092655
0.267,1.173158502,0.617668332,0.864489602
0.268,1.173929346,0.618095105,0.865287312
0.269,1.174549234,0.618810204,0.866018792
0.27,1.175174714,0.619514545,0.866599226
0.271,1.176174429,0.620103288,0.86747589
0.272,1.176702832,0.620530859,0.868091933
0.273,1.177188287,0.621184362,0.868333591
0.274,1.178094162,0.621469683,0.868972252
0.275,1.178762325,0.622012162,0.869749933
0.276,1.179775449,0.622658766,0.870210146
0.277,1.179575331,0.623354217,0.870966268
0.278,1.179674297,0.623832919,0.871658263
0.279,1.179742723,0.624019867,0.872370551
0.28,1.180261159,0.624455414,0.872639886
0.281,1.180369868,0.625100014,0.872958152
0.282,1.180744867,0.625778658,0.87341097
0.283,1.181239049,0.625992695,0.873772113
0.284,1.181906475,0.62671951,0.87423353
0.285,1.182466243,0.627450569,0.874758844
0.286,1.182563123,0.628213659,0.875347859
0.287,1.182694694,0.628604673,0.875989809
0.288,1.183117528,0.629004092,0.876802078
0.289,1.183668471,0.629247176,0.87784804
0.29,1.184183234,0.629679003,0.878462232
0.291,1.184443744,0.630194685,0.879227218
0.292,1.185031672,0.63062357,0.880264172
0.293,1.185456887,0.630801189,0.881340038
0.294,1.185913502,0.631575064,0.882471012
0.295,1.186168373,0.631946135,0.88334999
0.296,1.186524335,0.632350265,0.883794725
0.297,1.187228964,0.632884026,0.884318161
0.298,1.18794267,0.633287176,0.885233845
0.299,1.188388506,0.63390604,0.885581528
0.3,1.189336066,0.634383823,0.885942859
0.301,1.189918137,0.634645326,0.886626394
0.302,1.190736309,0.635011058,0.887298526
0.303,1.19155169,0.635049762,0.88824518
0.304,1.192553107,0.635553129,0.888697645
0.305,1.192948303,0.636203176,0.889001321
0.306,1.193787698,0.636407562,0.889492539
0.307,1.194326624,0.636590047,0.88967761
0.308,1.194920306,0.636504708,0.88994087
0.309,1.195869802,0.636749599,0.890788652
0.31,1.196244139,0.636608081,0.891726678
0.311,1.197082571,0.636705415,0.892165367
0.312,1.198280221,0.636777462,0.892590444
0.313,1.198697088,0.637185773,0.892704024
0.314,1.199759191,0.637659882,0.893259019
0.315,1.204006254,0.638224455,0.893597895
0.316,1.204400861,0.638535279,0.893955422
0.317,1.2106821,0.638852537,0.894013792
0.318,1.218357669,0.639253735,0.89407961
0.319,1.219369362,0.639504244,0.894604525
0.32,1.220383251,0.639992828,0.894733311
0.321,1.221028826,0.640258169,0.895134622
