Pose/Time (ns),Pose 1: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,Pose  2: PersScore 0.291 PoseScore 3.460 DockingScore -12.701
0.476,0.993202438,1.36616192
0.477,0.993729359,1.366636158
0.478,0.995915426,1.368284706
0.479,0.99945703,1.370972376
0.48,0.999712193,1.373291422
0.481,1.000006913,1.373796358
0.482,1.000372125,1.374262038
0.483,1.000773663,1.374235754
0.484,1.00101527,1.374820679
0.485,1.001278787,1.375264495
0.486,1.001478495,1.376804345
0.487,1.001809132,1.377462041
0.488,1.002015795,1.377923018
0.489,1.002259608,1.378414933
0.49,1.002411163,1.378610428
0.491,1.0025339,1.383483687
0.492,1.002910161,1.385127418
0.493,1.003194606,1.385521048
0.494,1.003344483,1.385914717
0.495,1.003550913,1.385950443
0.496,1.003795929,1.386044242
0.497,1.004033434,1.391815393
0.498,1.004152801,1.392351988
0.499,1.004336442,1.395346267
0.5,1.004266449,1.399149113
0.501,1.004360481,1.399637958
0.502,1.004557785,1.413187987
0.503,1.005692814,1.413720955
0.504,1.00603727,1.414275802
0.505,1.006404224,1.414835681
0.506,1.006466422,1.420635538
0.507,1.006764243,1.424065166
0.508,1.007159029,1.424741608
0.509,1.008380109,1.425666877
0.51,1.008490111,1.426558214
0.511,1.008664712,1.429834104
0.512,1.008775997,1.432303346
0.513,1.009012878,1.433132745
0.514,1.009230812,1.43388774
0.515,1.009583102,1.434456908
0.516,1.009932446,1.437905053
0.517,1.010258503,1.438733394
0.518,1.010658135,1.439485093
0.519,1.011149703,1.440254391
0.52,1.011610649,1.44123502
0.521,1.012067251,1.442195587
0.522,1.012519642,1.442986793
0.523,1.013083356,1.443674289
0.524,1.013663631,1.444627704
0.525,1.013986006,1.445180101
0.526,1.0145164,1.445946308
0.527,1.014892277,1.446389066
0.528,1.015275498,1.446908739
0.529,1.015505292,1.447536594
0.53,1.015727221,1.448145364
0.531,1.016017007,1.448839109
0.532,1.016544541,1.449477928
0.533,1.016960982,1.450388243
0.534,1.017116252,1.451020882
0.535,1.01737518,1.451469051
0.536,1.017781345,1.452091339
0.537,1.018212084,1.452845891
0.538,1.018530963,1.453184132
0.539,1.018875726,1.453685792
0.54,1.019406455,1.454486619
0.541,1.019866413,1.455016852
0.542,1.020487347,1.455397448
0.543,1.020894103,1.457327241
0.544,1.021381445,1.458019386
0.545,1.021916106,1.461508255
0.546,1.022230008,1.462023975
0.547,1.022537609,1.462700824
0.548,1.023189146,1.463525484
0.549,1.023674599,1.463952081
0.55,1.024105881,1.464497797
0.551,1.02459654,1.466652714
0.552,1.025096005,1.46739253
0.553,1.025542943,1.472945049
0.554,1.026040717,1.473888114
0.555,1.026225817,1.4745827
0.556,1.026806419,1.475032177
0.557,1.027186463,1.475674859
0.558,1.027669144,1.476401381
0.559,1.027922274,1.477176225
0.56,1.02834548,1.477925742
0.561,1.028879398,1.478721841
0.562,1.029172532,1.479482928
0.563,1.029390286,1.480267368
0.564,1.029634961,1.480978149
0.565,1.029787259,1.481682359
0.566,1.029986,1.482379231
0.567,1.030103534,1.483061028
0.568,1.030350655,1.483840125
0.569,1.030447675,1.484551632
0.57,1.030510425,1.485548004
0.571,1.030658837,1.486365666
0.572,1.030757309,1.486944854
0.573,1.031065119,1.487840772
0.574,1.031170618,1.488811218
0.575,1.03125852,1.493240663
0.576,1.031354489,1.494095336
0.577,1.031282313,1.494862126
0.578,1.032359974,1.495863785
0.579,1.032332038,1.49680774
0.58,1.032280826,1.497638085
0.581,1.032226015,1.498605039
0.582,1.032454563,1.499347948
0.583,1.032470814,1.500238969
0.584,1.032432269,1.500958763
0.585,1.032625702,1.501775636
0.586,1.033021072,1.502429742
0.587,1.033157107,1.503410298
0.588,1.033270593,1.504237656
0.589,1.033615304,1.505168753
0.59,1.033948692,1.505989164
0.591,1.034225853,1.506868566
0.592,1.034572385,1.507591512
0.593,1.034824814,1.508606603
0.594,1.035022012,1.509159629
0.595,1.035115503,1.510045456
0.596,1.035391887,1.511103868
0.597,1.035650052,1.511694809
0.598,1.035782142,1.512353987
0.599,1.039887589,1.513061228
0.6,1.039931937,1.513856603
0.601,1.040089336,1.517997419
0.602,1.040072355,1.518556008
0.603,1.040354052,1.522279036
0.604,1.040723113,1.526301008
0.605,1.041034551,1.527136746
0.606,1.041413026,1.528333498
0.607,1.041762367,1.529154644
0.608,1.042030975,1.536609962
0.609,1.042213269,1.537344765
0.61,1.042728473,1.538035397
0.611,1.042957469,1.538954701
0.612,1.043136009,1.539979772
0.613,1.043088448,1.540843128
0.614,1.043095003,1.541821976
0.615,1.042999821,1.542733895
0.616,1.043124048,1.543555368
0.617,1.043462067,1.544478298
0.618,1.043615883,1.545206254
0.619,1.043810474,1.546143835
0.62,1.043890355,1.547257706
0.621,1.043979908,1.548004993
0.622,1.044004544,1.548940767
0.623,1.044339218,1.549721
0.624,1.044579561,1.550896339
0.625,1.044999186,1.551845876
0.626,1.045270132,1.55281923
0.627,1.04553827,1.554020164
0.628,1.045630177,1.55472417
0.629,1.045899473,1.555550795
0.63,1.046065418,1.556272581
0.631,1.046379501,1.557403866
0.632,1.046834322,1.558578152
0.633,1.047490526,1.559346512
0.634,1.047783441,1.560173546
0.635,1.048030587,1.561119989
0.636,1.048325044,1.562032247
0.637,1.048566191,1.562781783
0.638,1.048966876,1.563660731
0.639,1.04926061,1.564685234
0.64,1.049569515,1.565456194
0.641,1.050089126,1.568141394
0.642,1.050355852,1.569065688
0.643,1.050745169,1.569770533
0.644,1.05103559,1.573451259
0.645,1.051569644,1.57611311
0.646,1.052054394,1.576707606
0.647,1.052302237,1.577661433
0.648,1.052592539,1.578734607
0.649,1.052892005,1.579781436
0.65,1.053375431,1.586587619
0.651,1.053800136,1.587406549
0.652,1.054178235,1.587895024
0.653,1.054419063,1.588779462
0.654,1.054994225,1.59314672
0.655,1.055353348,1.593962047
0.656,1.055594931,1.594984994
0.657,1.056062102,1.595713788
0.658,1.056623353,1.596710829
0.659,1.057032707,1.597282034
0.66,1.057568669,1.597874188
0.661,1.058043525,1.598910632
0.662,1.058499382,1.599501524
0.663,1.058720861,1.60049333
0.664,1.059255454,1.601198699
0.665,1.059888637,1.610691099
0.666,1.060540741,1.611265707
0.667,1.06104671,1.612084219
0.668,1.06147809,1.613316776
0.669,1.061912198,1.614192685
0.67,1.062280668,1.615167691
0.671,1.062861424,1.615623848
0.672,1.062997903,1.616183847
0.673,1.063213953,1.619244508
0.674,1.063679671,1.620095384
0.675,1.064076813,1.62089157
0.676,1.064704384,1.621731558
0.677,1.065250465,1.62257028
0.678,1.066176577,1.623459031
0.679,1.066651393,1.62400916
0.68,1.067268662,1.624794236
0.681,1.067803911,1.625313249
0.682,1.068392993,1.62594589
0.683,1.068991806,1.626620306
0.684,1.069308263,1.627208469
0.685,1.06982342,1.627874006
0.686,1.070299667,1.628568933
0.687,1.070670851,1.629067823
0.688,1.070942908,1.629891874
0.689,1.071427994,1.63035026
0.69,1.072004452,1.630821465
0.691,1.072629839,1.631404455
0.692,1.073388629,1.632038011
0.693,1.07420343,1.632737751
0.694,1.074808503,1.633413063
0.695,1.075407614,1.634346391
0.696,1.075791662,1.635044182
0.697,1.076493897,1.636028018
0.698,1.076996252,1.63655919
0.699,1.077402842,1.637452531
0.7,1.077807681,1.638166352
0.701,1.078194018,1.639373171
0.702,1.078968571,1.639799051
0.703,1.079385671,1.64056225
0.704,1.079885224,1.641454581
0.705,1.0803001,1.642473767
0.706,1.081009266,1.643591456
0.707,1.081574384,1.645025806
0.708,1.082276568,1.645857554
0.709,1.082757547,1.646957931
0.71,1.08299667,1.648675687
0.711,1.083215606,1.649565077
0.712,1.083524639,1.650647138
0.713,1.083934975,1.651752562
0.714,1.084370435,1.653968909
0.715,1.08481846,1.655256941
0.716,1.085596699,1.656097229
0.717,1.086146129,1.656890612
0.718,1.086960819,1.657681476
0.719,1.087680948,1.658754998
0.72,1.088378138,1.65956253
0.721,1.088595419,1.660415502
0.722,1.088868003,1.661536731
0.723,1.089161495,1.662325655
0.724,1.089612179,1.66309549
0.725,1.09014728,1.664066707
0.726,1.090485507,1.665215665
0.727,1.090809796,1.66626956
0.728,1.091018648,1.667068277
0.729,1.091458878,1.668179278
0.73,1.09162454,1.669079382
0.731,1.092134646,1.669609203
0.732,1.092655803,1.670551896
0.733,1.096634376,1.671515749
0.734,1.096927796,1.675854325
0.735,1.097288273,1.684754624
0.736,1.097819695,1.685723641
0.737,1.098568272,1.686509598
0.738,1.099064826,1.687309312
0.739,1.0993081,1.687948211
0.74,1.099444913,1.688859063
0.741,1.099698838,1.689570425
0.742,1.099867051,1.690734123
0.743,1.099856608,1.69176769
0.744,1.09985785,1.692689824
0.745,1.099751699,1.693877288
0.746,1.099786235,1.695041214
0.747,1.100009402,1.69600706
0.748,1.100365927,1.697131951
0.749,1.100862337,1.698002857
