Pose/Time (ns),ZINC000100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,ZINC000003932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,ZINC000077301904 PersScore 0.536 PoseScore 2.553 DockingScore -13.363,ZINC000003830434 PersScore 0.313 PoseScore 1.972 DockingScore -9.597,ZINC000004215255 PersScore 0.445 PoseScore 2.772 DockingScore -13.930,ZINC000095615286 PersScore 0.229 PoseScore 2.699 DockingScore -12.759,ZINC000150374455 PersScore 0.209 PoseScore 3.062 DockingScore -13.887,ZINC000008655696 PersScore 0.042 PoseScore 3.214 DockingScore -14.072
0.064,0.798099536,0.451489784,0.599830086,0.726805778,0.614982509,0.556570109,0.630256368,0.617642929,0.537792468
0.065,0.79882582,0.453720582,0.600606662,0.727963426,0.615357384,0.557833269,0.631564532,0.63080275,0.542502467
0.066,0.800031277,0.454797667,0.601156867,0.729111181,0.615891186,0.559166957,0.632736378,0.632259778,0.543089962
0.067,0.801096088,0.455661029,0.60179029,0.730220887,0.616097264,0.55996928,0.633958726,0.645029047,0.544141069
0.068,0.801937378,0.457685768,0.602240958,0.731465806,0.616833023,0.56061034,0.635136766,0.651301378,0.54531532
0.069,0.802725817,0.458967583,0.602651087,0.732660783,0.617644966,0.561699752,0.636682035,0.652785694,0.545929927
0.07,0.804063767,0.459838254,0.603573108,0.73923529,0.618199254,0.562907359,0.637583958,0.669670205,0.547387445
0.071,0.804490617,0.460411639,0.604558351,0.745702978,0.618751668,0.564084524,0.638959816,0.671188002,0.548274
0.072,0.805749612,0.460749366,0.605741783,0.747015837,0.619538654,0.568580625,0.640164426,0.675673279,0.549566572
0.073,0.806564589,0.470199077,0.606039091,0.748193031,0.620216567,0.570102694,0.641277381,0.681396785,0.55514026
0.074,0.807797485,0.470681776,0.60649927,0.749465444,0.620744883,0.578056419,0.642374859,0.683000464,0.556581555
0.075,0.808863974,0.470987841,0.607408119,0.750381612,0.621162949,0.578721029,0.643806816,0.689505825,0.557592262
0.076,0.809493489,0.471651415,0.608267451,0.751373709,0.621769638,0.579705259,0.645120969,0.690938138,0.558403274
0.077,0.810095981,0.472081723,0.609360418,0.752428209,0.622323508,0.580240015,0.647029641,0.692415443,0.559308519
0.078,0.810704603,0.472878007,0.610139259,0.753688752,0.632908535,0.580687967,0.648290803,0.693817946,0.55922609
0.079,0.811493683,0.473761037,0.613529696,0.754846878,0.644506283,0.581241601,0.649037575,0.695105731,0.55959493
0.08,0.812431023,0.474307158,0.624401032,0.755990883,0.645033186,0.581795782,0.649940546,0.696916166,0.560537342
0.081,0.814020231,0.474977845,0.62469307,0.757320897,0.653939829,0.582372927,0.651831287,0.698112243,0.561297494
0.082,0.814954994,0.474951864,0.628609453,0.758512529,0.654350468,0.583477241,0.653043634,0.698968825,0.561925538
0.083,0.815932146,0.475194134,0.629078947,0.759660852,0.654944158,0.584032984,0.653999554,0.700388336,0.562432753
0.084,0.840423772,0.475750433,0.642951935,0.760919866,0.655402702,0.585255508,0.654776398,0.700770789,0.56363653
0.085,0.841684197,0.476210721,0.643875102,0.76239073,0.655831499,0.586371337,0.655964068,0.701838595,0.564284946
0.086,0.842163095,0.476872537,0.644842056,0.76381593,0.656400363,0.587449164,0.660641594,0.7025879,0.564695091
0.087,0.842844534,0.477366639,0.645483627,0.765329841,0.65716707,0.588372659,0.662211326,0.703713251,0.565051083
0.088,0.844136032,0.478344113,0.646331527,0.769315693,0.66205175,0.589148027,0.663112738,0.719360912,0.565601115
0.089,0.844922705,0.479125971,0.647415543,0.770621539,0.664512338,0.589783933,0.671305543,0.720615092,0.567011483
0.09,0.864489646,0.47983682,0.647909229,0.774328342,0.664756498,0.590564538,0.672780915,0.72183264,0.568334419
0.091,0.865468238,0.48038978,0.648809753,0.775688075,0.665177335,0.59162842,0.674102983,0.728446507,0.568625537
0.092,0.866049821,0.480821078,0.649538286,0.776706042,0.665565062,0.592387565,0.678282193,0.729680353,0.570108653
0.093,0.867575935,0.481440148,0.650676796,0.777976245,0.665900314,0.593164188,0.679145569,0.731113189,0.570606895
0.094,0.868421482,0.482202175,0.651301594,0.77870405,0.666305421,0.594044837,0.679824629,0.732171619,0.582568811
0.095,0.869126227,0.482558565,0.652057405,0.77965086,0.666855029,0.594900645,0.680538978,0.733447405,0.583928162
0.096,0.870330773,0.482793706,0.652786298,0.780757414,0.667376065,0.595556765,0.681449367,0.734612478,0.58460929
0.097,0.870687949,0.483409785,0.653493239,0.782037032,0.66786694,0.595767554,0.682035707,0.741013109,0.585316724
0.098,0.871663933,0.483911288,0.653948252,0.782784107,0.66807889,0.596666666,0.682949398,0.741814792,0.585725354
0.099,0.872650356,0.484422365,0.654438935,0.783252796,0.668741609,0.597620509,0.683806622,0.748074951,0.585930003
0.1,0.873265533,0.485133145,0.655531996,0.783772482,0.669326629,0.603416496,0.684522803,0.748874317,0.586409629
0.101,0.873801194,0.4874786,0.656267464,0.784578946,0.669898191,0.604395606,0.685628935,0.749658718,0.586646075
0.102,0.874680231,0.490150445,0.657247204,0.78536048,0.670529796,0.605118648,0.686982051,0.750962584,0.58709097
0.103,0.875481123,0.490793863,0.657929924,0.78601887,0.671671346,0.606231593,0.687918474,0.751687509,0.588600026
0.104,0.876674358,0.491368969,0.658577397,0.78674925,0.675915441,0.606927816,0.689561224,0.752651646,0.589490625
0.105,0.877726219,0.492155534,0.659586622,0.787923271,0.68016041,0.607395306,0.691213135,0.753006096,0.590029264
0.106,0.878706527,0.494013565,0.660516087,0.789161768,0.681004025,0.608295749,0.692384136,0.753974177,0.590218748
0.107,0.879827639,0.494620077,0.661434956,0.790300278,0.681788037,0.609112,0.693118801,0.75484355,0.590732794
0.108,0.880785148,0.495240092,0.66231278,0.791375031,0.68611109,0.610004253,0.693943938,0.756142568,0.591172178
0.109,0.881723652,0.4956896,0.663433386,0.792540755,0.687129853,0.611010266,0.698149855,0.756903564,0.591675383
0.11,0.883302161,0.496073246,0.664422178,0.793339469,0.688119686,0.612070481,0.698867031,0.757165461,0.592916669
0.111,0.884025465,0.496641677,0.665346822,0.793964338,0.688523293,0.616446732,0.699629322,0.757527231,0.593789397
0.112,0.892566157,0.497610071,0.666126247,0.794524673,0.689296685,0.619843362,0.710003873,0.758235379,0.594541682
0.113,0.894409757,0.497958803,0.677430509,0.79559274,0.690367122,0.626516555,0.710928603,0.759254894,0.595674445
0.114,0.895362648,0.498158619,0.67843473,0.796243505,0.691666483,0.631042627,0.711678901,0.76000058,0.596984505
0.115,0.896660927,0.498712556,0.683018605,0.800417643,0.692761455,0.631917667,0.712589942,0.760322615,0.597598762
0.116,0.898261825,0.499182307,0.684196195,0.801574502,0.69359222,0.643260719,0.713566961,0.760320983,0.598470232
0.117,0.899929277,0.499869016,0.685475445,0.802580156,0.693979989,0.644328345,0.714817131,0.760749587,0.599307269
0.118,0.900914548,0.500423456,0.688070233,0.812505406,0.694027102,0.648233862,0.71567491,0.761735996,0.600011808
0.119,0.902040899,0.501297821,0.689189467,0.813507979,0.694007276,0.649547223,0.71650709,0.76222195,0.604291698
0.12,0.9033088,0.502205175,0.690244972,0.814419354,0.69443022,0.650526591,0.717682977,0.763325328,0.604873334
0.121,0.910890101,0.507030212,0.69147547,0.815098024,0.695123536,0.678507158,0.719038452,0.764222449,0.60987758
0.122,0.912021577,0.507500212,0.692353467,0.816015326,0.695911547,0.679254574,0.720004352,0.765169465,0.610315386
0.123,0.913135896,0.508112365,0.693225818,0.818869778,0.696405323,0.680113947,0.720967242,0.765854139,0.618794046
0.124,0.914005132,0.511313912,0.710342449,0.820046138,0.696940091,0.680764544,0.721775892,0.774821861,0.619979104
0.125,0.914960385,0.511901815,0.711411402,0.821347041,0.697063123,0.681901038,0.72862426,0.776016193,0.621107725
