projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-1.658, -0.525
-0.887, 0.441
-1.215, 0.306
-1.238, 0.055
-1.405, 0.159
-0.996, 0.269
-0.669, -0.540
-0.829, 0.188
-0.777, -0.268
-0.858, -0.449
-0.637, -0.664
-0.827, -0.420
-0.906, -0.015
-1.078, -0.121
-1.062, -0.012
-0.778, -0.349
-0.882, -0.216
-1.239, 0.001
-1.141, -0.081
-1.061, -0.324
-1.388, -0.979
-1.400, -0.264
-1.341, 0.112
-1.158, -0.168
-1.582, -0.067
-1.887, 0.320
-1.903, -0.363
-1.789, -0.645
-1.636, -0.498
-1.699, -0.909
-1.410, -0.249
-1.432, -0.403
-1.537, -0.333
-1.216, -0.018
-1.409, -0.317
-1.383, -1.225
-0.646, -1.058
-1.179, -1.357
-1.410, -0.863
-0.527, -0.612
-0.808, -0.734
-0.769, 0.249
-1.246, 0.135
-0.781, -0.326
-0.658, -0.274
-0.673, -0.668
-0.906, -0.790
-1.001, -0.258
-1.364, -0.270
-1.550, -0.356
-1.077, -0.400
-0.951, -0.208
-0.846, 0.117
-0.723, 0.141
-0.403, -0.038
-0.897, 0.018
-0.872, -0.339
-1.450, -0.363
-1.273, -0.537
-1.476, 0.185
-1.492, -0.245
-1.523, 0.638
-1.553, 0.306
-1.154, 1.097
-1.705, 1.105
-1.477, 0.438
-1.375, 0.308
-1.284, 0.035
-1.403, -0.761
-1.167, 0.153
-1.123, 0.146
-1.088, -0.251
-0.777, -0.348
-1.034, -0.391
-0.118, -0.550
-0.737, -0.246
-0.632, 0.077
-1.050, 0.249
-0.660, 0.513
-0.531, -0.643
-0.613, 0.063
-0.955, -0.291
-0.726, -0.546
-1.011, -0.623
-0.903, -0.662
-0.943, -0.025
-0.904, -0.373
-0.798, -0.732
-1.247, -0.678
-0.985, -0.738
-0.362, -0.923
-0.242, -1.678
-0.538, -0.887
-0.709, -1.328
-0.565, -1.087
-0.751, -1.490
-0.783, -0.853
-0.746, -0.712
-0.949, -0.820
-0.820, -1.366
-0.587, -0.876
-0.875, -0.600
-0.050, 0.076
-0.671, -1.150
-0.860, -1.253
-0.749, -0.732
-0.897, -0.445
-0.858, -0.560
-0.753, -0.307
-0.751, -1.048
-0.975, -0.948
-0.859, -1.390
