projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.346, -2.238
-0.860, -2.051
-1.261, -2.146
-1.202, -2.181
-1.146, -2.034
-0.898, -2.320
-0.851, -2.471
-0.548, -2.499
-0.572, -2.332
-0.357, -2.492
-0.831, -2.491
-0.822, -2.257
-0.596, -2.331
-0.631, -2.555
-1.051, -2.194
-1.015, -2.029
-0.603, -2.315
-0.458, -2.144
-0.388, -2.582
-0.275, -2.807
-0.632, -2.457
-0.951, -2.460
-0.371, -2.962
0.043, -2.674
-1.345, -2.286
-1.538, -1.808
-1.060, -2.647
-1.137, -2.548
-0.577, -2.461
-0.349, -2.631
-0.796, -2.106
-0.610, -2.290
-0.591, -2.312
-0.561, -2.491
-0.367, -2.327
-1.313, -1.977
-0.815, -2.231
-1.397, -2.223
-1.145, -2.368
-1.466, -2.095
-0.912, -2.442
-1.356, -2.026
-1.311, -1.936
-1.255, -2.171
-1.261, -2.035
-1.484, -1.994
-1.612, -2.131
-1.730, -1.547
-1.420, -1.713
-1.189, -1.754
-1.149, -1.875
-1.093, -1.770
-0.773, -1.966
-1.248, -1.199
-1.111, -1.995
-1.244, -1.804
-1.495, -1.847
-1.731, -1.516
-1.167, -2.015
-1.493, -1.485
-0.812, -2.247
-1.300, -1.750
-0.611, -1.754
-1.011, -1.729
-0.962, -1.844
-1.451, -1.504
-1.346, -1.448
-1.339, -1.576
-0.751, -1.963
-1.740, -1.600
-0.193, -2.378
-1.037, -1.948
-1.539, -1.644
-1.037, -1.684
-0.885, -1.935
-0.805, -1.853
-1.089, -1.926
-1.117, -1.863
-1.892, -1.416
-1.447, -1.457
-1.862, -1.526
-1.263, -2.012
-0.842, -2.283
-0.180, -2.343
-1.063, -1.660
-0.689, -2.056
-0.780, -2.539
-0.697, -2.453
-0.493, -2.411
-0.852, -1.864
-0.677, -1.813
-1.057, -1.377
-1.721, -1.490
-1.530, -1.498
-0.954, -1.586
-1.048, -1.835
-1.512, -1.288
-0.956, -1.920
-1.075, -1.711
-0.867, -2.357
-0.468, -1.994
-0.855, -2.233
-1.599, -2.042
-1.101, -1.615
-1.321, -1.600
-0.815, -1.705
-1.623, -1.422
-1.158, -1.615
-0.588, -1.631
-0.196, -2.155
-1.064, -1.545
-0.819, -1.384
-1.383, -1.077
-0.335, -1.503
-0.158, -2.485
