Time (ps), RMSD (nm)
64.200, 0.120
64.300, 0.117
64.400, 0.123
64.500, 0.119
64.600, 0.126
64.700, 0.117
64.800, 0.122
64.900, 0.120
65.000, 0.117
65.100, 0.111
65.200, 0.116
65.300, 0.118
65.400, 0.125
65.500, 0.120
65.600, 0.138
65.700, 0.122
65.800, 0.115
65.900, 0.123
66.000, 0.123
66.100, 0.121
66.200, 0.124
66.300, 0.124
66.400, 0.114
66.500, 0.108
66.600, 0.117
66.700, 0.115
66.800, 0.125
66.900, 0.124
67.000, 0.122
67.100, 0.132
67.200, 0.125
67.300, 0.120
67.400, 0.122
67.500, 0.120
67.600, 0.117
67.700, 0.126
67.800, 0.127
67.900, 0.132
68.000, 0.131
68.100, 0.125
68.200, 0.128
68.300, 0.118
68.400, 0.113
68.500, 0.121
68.600, 0.123
68.700, 0.119
68.800, 0.115
68.900, 0.117
69.000, 0.119
69.100, 0.120
69.200, 0.110
69.300, 0.122
69.400, 0.114
69.500, 0.122
69.600, 0.124
69.700, 0.110
69.800, 0.121
69.900, 0.127
70.000, 0.112
70.100, 0.117
70.200, 0.125
70.300, 0.112
70.400, 0.110
70.500, 0.120
70.600, 0.120
70.700, 0.120
70.800, 0.115
70.900, 0.110
71.000, 0.112
71.100, 0.108
71.200, 0.113
71.300, 0.111
71.400, 0.118
71.500, 0.114
71.600, 0.124
71.700, 0.110
71.800, 0.120
71.900, 0.113
72.000, 0.106
72.100, 0.119
72.200, 0.111
72.300, 0.115
72.400, 0.116
72.500, 0.112
72.600, 0.112
72.700, 0.121
72.800, 0.108
72.900, 0.113
73.000, 0.109
73.100, 0.116
73.200, 0.122
73.300, 0.116
73.400, 0.112
73.500, 0.119
73.600, 0.119
73.700, 0.114
73.800, 0.117
73.900, 0.118
74.000, 0.108
74.100, 0.114
74.200, 0.112
74.300, 0.115
74.400, 0.117
74.500, 0.124
74.600, 0.107
74.700, 0.116
74.800, 0.120
74.900, 0.109
75.000, 0.114
75.100, 0.103
75.200, 0.113
75.300, 0.116
75.400, 0.111
75.500, 0.115
75.600, 0.121
75.700, 0.119
75.800, 0.118
75.900, 0.122
76.000, 0.122
76.100, 0.122
76.200, 0.120
76.300, 0.119
76.400, 0.123
76.500, 0.123
76.600, 0.115
76.700, 0.125
76.800, 0.124
76.900, 0.117
77.000, 0.118
77.100, 0.118
77.200, 0.112
77.300, 0.116
77.400, 0.115
77.500, 0.114
77.600, 0.112
77.700, 0.119
77.800, 0.111
77.900, 0.122
78.000, 0.120
78.100, 0.119
78.200, 0.110
78.300, 0.110
78.400, 0.125
78.500, 0.120
78.600, 0.126
78.700, 0.129
78.800, 0.114
78.900, 0.121
79.000, 0.124
79.100, 0.129
79.200, 0.119
79.300, 0.121
79.400, 0.113
79.500, 0.121
79.600, 0.112
79.700, 0.114
79.800, 0.114
79.900, 0.111
80.000, 0.112
80.100, 0.112
80.200, 0.106
80.300, 0.107
80.400, 0.102
80.500, 0.110
80.600, 0.109
80.700, 0.112
80.800, 0.107
80.900, 0.115
81.000, 0.118
81.100, 0.105
81.200, 0.119
81.300, 0.112
81.400, 0.107
81.500, 0.117
81.600, 0.114
