Time (ps), RMSD (nm)
47.700, 0.102
47.800, 0.094
47.900, 0.094
48.000, 0.095
48.100, 0.102
48.200, 0.097
48.300, 0.084
48.400, 0.094
48.500, 0.091
48.600, 0.083
48.700, 0.096
48.800, 0.089
48.900, 0.089
49.000, 0.083
49.100, 0.076
49.200, 0.095
49.300, 0.080
49.400, 0.090
49.500, 0.101
49.600, 0.092
49.700, 0.083
49.800, 0.099
49.900, 0.088
50.000, 0.090
50.100, 0.093
50.200, 0.095
50.300, 0.097
50.400, 0.092
50.500, 0.089
50.600, 0.099
50.700, 0.091
50.800, 0.094
50.900, 0.090
51.000, 0.085
51.100, 0.084
51.200, 0.086
51.300, 0.097
51.400, 0.091
51.500, 0.096
51.600, 0.082
51.700, 0.086
51.800, 0.090
51.900, 0.095
52.000, 0.093
52.100, 0.108
52.200, 0.098
52.300, 0.093
52.400, 0.080
52.500, 0.089
52.600, 0.099
52.700, 0.100
52.800, 0.088
52.900, 0.086
53.000, 0.090
53.100, 0.092
53.200, 0.088
53.300, 0.083
53.400, 0.082
53.500, 0.083
53.600, 0.087
53.700, 0.087
53.800, 0.086
53.900, 0.088
54.000, 0.084
54.100, 0.089
54.200, 0.088
54.300, 0.084
54.400, 0.078
54.500, 0.086
54.600, 0.085
54.700, 0.086
54.800, 0.079
54.900, 0.088
55.000, 0.090
55.100, 0.084
55.200, 0.087
55.300, 0.086
55.400, 0.078
55.500, 0.081
55.600, 0.077
55.700, 0.086
55.800, 0.087
55.900, 0.088
56.000, 0.096
56.100, 0.088
56.200, 0.097
56.300, 0.085
56.400, 0.086
56.500, 0.097
56.600, 0.099
56.700, 0.094
56.800, 0.092
56.900, 0.090
57.000, 0.092
57.100, 0.093
57.200, 0.079
57.300, 0.094
57.400, 0.093
57.500, 0.098
57.600, 0.095
57.700, 0.095
57.800, 0.083
57.900, 0.091
58.000, 0.089
58.100, 0.085
58.200, 0.093
58.300, 0.080
58.400, 0.081
58.500, 0.095
58.600, 0.091
58.700, 0.095
58.800, 0.087
58.900, 0.088
59.000, 0.087
59.100, 0.085
59.200, 0.096
59.300, 0.090
59.400, 0.094
59.500, 0.088
59.600, 0.097
59.700, 0.092
59.800, 0.094
59.900, 0.090
60.000, 0.089
60.100, 0.097
60.200, 0.092
60.300, 0.099
60.400, 0.085
60.500, 0.090
60.600, 0.096
60.700, 0.092
60.800, 0.093
60.900, 0.096
61.000, 0.092
61.100, 0.089
61.200, 0.097
