projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.536, -0.409
0.613, -0.502
0.772, -0.800
0.404, -0.557
0.567, -0.517
0.598, -0.219
0.761, -0.184
0.630, -0.383
1.069, -0.137
0.693, -0.384
0.348, -0.522
0.426, -0.630
0.513, -0.044
0.748, -0.157
0.669, -0.254
0.645, -0.563
0.583, -0.003
0.541, 0.098
0.587, 0.032
0.457, -0.251
0.608, -0.145
0.571, -0.448
0.360, -0.105
0.712, -0.299
0.741, -0.503
0.785, -0.366
0.477, -0.399
0.456, -0.334
0.268, -0.419
0.359, -0.092
0.343, 0.043
0.389, 0.134
0.485, -0.767
0.493, -0.146
0.489, -0.470
0.105, -0.329
0.340, -0.498
0.451, -0.752
0.403, -0.067
0.342, -0.498
0.492, -0.787
0.359, -0.788
0.292, -0.753
0.487, -0.631
0.105, -1.049
0.367, -0.888
0.597, -0.602
0.560, -0.678
0.640, -0.644
0.536, -0.515
0.403, -0.802
0.637, -1.055
0.715, -1.262
0.735, -0.837
0.775, -0.773
0.734, -0.392
0.946, -1.202
0.489, -1.142
0.444, -0.658
0.564, -0.405
0.581, -0.573
0.613, -0.334
0.667, -0.636
0.742, -0.851
0.615, -0.802
0.600, -0.861
0.736, -0.645
0.555, -0.891
0.772, -0.451
0.806, -0.988
0.603, -0.449
0.688, -0.101
0.797, 0.163
0.893, 0.001
0.818, -0.377
0.761, -0.324
0.767, -0.872
0.827, -0.644
0.854, -0.757
0.592, -1.068
0.919, -0.726
1.179, -0.502
1.079, -0.403
0.713, -0.454
0.709, -0.215
0.848, -0.049
0.488, -0.319
0.603, -0.282
0.873, -0.186
0.807, -0.616
0.609, -0.421
0.666, -0.380
0.680, -0.794
0.465, -1.355
0.535, -1.025
0.936, -0.496
0.562, -0.645
0.829, 0.143
1.011, 0.121
0.811, -0.148
0.906, 0.585
0.773, -0.301
0.676, -0.365
0.654, -0.145
0.726, -0.269
0.444, -0.389
0.381, -0.068
0.709, 0.085
0.692, -0.382
0.698, -0.745
0.895, -1.213
0.656, -0.710
0.889, -1.024
0.678, -0.983
0.813, -1.055
0.670, -1.095
0.839, -1.004
0.834, -1.316
0.440, -1.012
0.541, -0.767
0.606, -0.718
0.597, -0.765
0.324, -0.940
0.729, -1.107
0.635, -0.888
0.614, -1.006
0.450, -1.037
0.791, -0.838
0.301, -0.666
0.618, -0.998
0.567, -1.290
0.724, -1.120
0.680, -0.853
0.549, -0.409
0.857, -0.987
1.028, -1.010
0.840, -0.976
0.903, -1.203
0.650, -1.016
0.512, -0.592
0.596, -0.747
0.851, -1.239
0.567, -1.255
0.840, -0.997
0.747, -0.887
0.844, -0.843
0.598, -0.770
0.938, -0.882
0.965, -1.399
1.010, -1.414
0.725, -1.156
0.860, -0.678
0.580, -1.247
0.700, -1.243
0.814, -0.930
0.935, -0.739
1.120, -1.250
1.104, -1.536
0.946, -1.781
0.890, -1.502
1.023, -1.539
0.814, -0.902
0.471, -0.777
0.628, -1.131
0.783, -1.321
0.822, -1.055
0.691, -0.906
0.130, -0.795
0.335, -0.387
0.457, -1.019
0.641, -0.859
0.608, -0.829
0.302, -0.791
0.423, -0.708
0.708, -0.728
0.224, -0.782
0.725, -0.384
0.283, -0.552
0.422, -0.665
0.608, -0.324
0.349, -0.664
0.401, -0.625
0.781, -0.895
0.384, -0.832
0.448, -0.927
